epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,20396.3,1.51049,1.29797,1.67311,0.79408,0.80604,0.85586,0.6319,1.44677,1.1964,1.83698,0.00074208,0.00074208,0.00074208
106,20566.4,1.49944,1.29994,1.67473,0.80207,0.80817,0.87017,0.62459,1.46568,1.19667,1.8255,0.0007396,0.0007396,0.0007396
107,20736.2,1.48124,1.29188,1.65203,0.80427,0.81385,0.8582,0.6118,1.46132,1.19244,1.81265,0.00073712,0.00073712,0.00073712
108,20906.1,1.48383,1.29096,1.66757,0.82783,0.78647,0.86755,0.63798,1.43614,1.19289,1.80968,0.00073464,0.00073464,0.00073464
109,21076.1,1.48517,1.29012,1.65447,0.77289,0.83887,0.87498,0.6263,1.42714,1.13701,1.80295,0.00073216,0.00073216,0.00073216
110,21245.9,1.4887,1.29917,1.66954,0.79714,0.83696,0.87247,0.64048,1.40984,1.13653,1.77654,0.00072968,0.00072968,0.00072968
111,21415.9,1.49608,1.28997,1.66392,0.75453,0.84727,0.87193,0.64459,1.42355,1.16508,1.7845,0.0007272,0.0007272,0.0007272
112,21586,1.47552,1.27066,1.64716,0.74544,0.85528,0.87254,0.64694,1.40177,1.12979,1.77288,0.00072472,0.00072472,0.00072472
113,21756,1.47397,1.27167,1.65144,0.81912,0.79717,0.87041,0.64203,1.40861,1.12488,1.78663,0.00072224,0.00072224,0.00072224
114,21925.9,1.47099,1.25445,1.64475,0.80758,0.82005,0.87836,0.64142,1.40732,1.14812,1.78489,0.00071976,0.00071976,0.00071976
115,22095.8,1.45285,1.24189,1.63209,0.77513,0.85464,0.87526,0.63978,1.40614,1.11835,1.78932,0.00071728,0.00071728,0.00071728
116,22265.7,1.46881,1.27563,1.65416,0.78846,0.8405,0.88469,0.64782,1.41031,1.11351,1.78014,0.0007148,0.0007148,0.0007148
117,22435.9,1.46677,1.28129,1.65384,0.79212,0.82613,0.88181,0.63777,1.4102,1.12286,1.77823,0.00071232,0.00071232,0.00071232
118,22605.9,1.46543,1.23854,1.63136,0.81648,0.82609,0.88592,0.65303,1.3993,1.10542,1.76797,0.00070984,0.00070984,0.00070984
119,22775.8,1.44967,1.23027,1.62373,0.79494,0.82822,0.8833,0.65795,1.37832,1.08303,1.74999,0.00070736,0.00070736,0.00070736
120,22946,1.4563,1.25131,1.62178,0.82653,0.81178,0.88321,0.6581,1.36341,1.10706,1.74626,0.00070488,0.00070488,0.00070488
121,23116,1.4568,1.25971,1.63897,0.79014,0.83348,0.8812,0.65816,1.34939,1.08609,1.73011,0.0007024,0.0007024,0.0007024
122,23286.1,1.43668,1.24178,1.62334,0.8128,0.81233,0.88635,0.66309,1.35018,1.07818,1.73122,0.00069992,0.00069992,0.00069992
123,23456.2,1.43119,1.21368,1.61981,0.84191,0.81493,0.88826,0.67183,1.33547,1.06669,1.71333,0.00069744,0.00069744,0.00069744
124,23626.1,1.44371,1.22036,1.62113,0.77325,0.85754,0.89359,0.66069,1.3505,1.06462,1.72009,0.00069496,0.00069496,0.00069496
125,23796.1,1.44421,1.23658,1.62539,0.81233,0.83687,0.89376,0.67599,1.32706,1.05178,1.71055,0.00069248,0.00069248,0.00069248
126,23966.2,1.44596,1.23887,1.62811,0.78968,0.85347,0.89587,0.67476,1.34561,1.05555,1.72415,0.00069,0.00069,0.00069
127,24136,1.42741,1.20329,1.60424,0.80837,0.83631,0.88952,0.6677,1.33225,1.06168,1.70419,0.00068752,0.00068752,0.00068752
128,24306,1.43882,1.21551,1.6174,0.80674,0.83566,0.88922,0.65891,1.33768,1.05028,1.71689,0.00068504,0.00068504,0.00068504
129,24476,1.43129,1.21885,1.60868,0.79998,0.85704,0.89852,0.66059,1.35281,1.04611,1.7277,0.00068256,0.00068256,0.00068256
130,24645.9,1.42698,1.21167,1.60958,0.78101,0.86422,0.89561,0.67269,1.3178,1.02877,1.7104,0.00068008,0.00068008,0.00068008
131,24815.9,1.41135,1.1715,1.59604,0.78951,0.84545,0.8871,0.66757,1.30621,1.02125,1.70191,0.0006776,0.0006776,0.0006776
132,24985.9,1.42013,1.21054,1.60686,0.80741,0.84241,0.89654,0.68162,1.29877,1.03164,1.69654,0.00067512,0.00067512,0.00067512
133,25155.9,1.42361,1.20652,1.60685,0.81171,0.85181,0.89554,0.68125,1.2931,1.00469,1.68872,0.00067264,0.00067264,0.00067264
134,25325.9,1.4183,1.20012,1.60122,0.83555,0.81841,0.89867,0.67911,1.2938,1.0084,1.6939,0.00067016,0.00067016,0.00067016
135,25495.8,1.41812,1.1825,1.59171,0.82752,0.83348,0.90067,0.68892,1.28356,1.01115,1.67967,0.00066768,0.00066768,0.00066768
136,25665.9,1.41284,1.19609,1.59689,0.838,0.83545,0.9003,0.68318,1.2692,0.98467,1.659,0.0006652,0.0006652,0.0006652
137,25835.8,1.41071,1.18992,1.59209,0.81668,0.84711,0.90064,0.67398,1.26468,0.97847,1.64858,0.00066272,0.00066272,0.00066272
138,26005.8,1.40998,1.17497,1.59611,0.83227,0.82471,0.8981,0.67929,1.26962,0.99369,1.65543,0.00066024,0.00066024,0.00066024
139,26175.7,1.41169,1.19097,1.59299,0.8185,0.86546,0.90295,0.68875,1.26833,0.99573,1.64985,0.00065776,0.00065776,0.00065776
140,26345.6,1.39796,1.18514,1.57841,0.82976,0.84857,0.90654,0.68704,1.25721,0.9735,1.63697,0.00065528,0.00065528,0.00065528
141,26515.5,1.39743,1.18725,1.59263,0.8387,0.83957,0.90412,0.69462,1.23993,0.96505,1.6245,0.0006528,0.0006528,0.0006528
